                                 Started job on |	May 17 15:12:30
                             Started mapping on |	May 17 15:12:31
                                    Finished on |	May 17 15:13:04
       Mapping speed, Million of reads per hour |	322.89

                          Number of input reads |	2959813
                      Average input read length |	19
                                    UNIQUE READS:
                   Uniquely mapped reads number |	328127
                        Uniquely mapped reads % |	11.09%
                          Average mapped length |	21.39
                       Number of splices: Total |	0
            Number of splices: Annotated (sjdb) |	0
                       Number of splices: GT/AG |	0
                       Number of splices: GC/AG |	0
                       Number of splices: AT/AC |	0
               Number of splices: Non-canonical |	0
                      Mismatch rate per base, % |	0.32%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.00
                        Insertion rate per base |	0.00%
                       Insertion average length |	1.03
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	13424
             % of reads mapped to multiple loci |	0.45%
        Number of reads mapped to too many loci |	0
             % of reads mapped to too many loci |	0.00%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	88.45%
                     % of reads unmapped: other |	0.01%
